receiver_id,reference,type,big_grid_id,x_epsg5179,y_epsg5179,lat,lon,alt
9864,BLD01000000367695,building,0008_0004,1163843.9979217,1732492.8807114,35.5749291,129.3081592,178.4700010
9865,BLD01000000367695,building,0008_0004,1163843.9979217,1732492.8807114,35.5749291,129.3081592,171.4799960
9866,,terrain,0008_0004,1163845.0000000,1732495.0000000,35.5749481,129.3081707,171.5000000
9867,BLD01000000366Z1P,building,0008_0004,1163850.0071090,1732496.8294852,35.5749637,129.3082263,183.6799930
9868,BLD01000000366Z1P,building,0008_0004,1163850.0071090,1732496.8294852,35.5749637,129.3082263,172.3899990
9869,BLD01000000366Z1P,building,0008_0004,1163856.1839710,1732492.4332712,35.5749231,129.3082936,183.6799930
9870,BLD01000000366Z1P,building,0008_0004,1163856.1839710,1732492.4332712,35.5749231,129.3082936,172.3899990
9871,BLD01000000366Z1P,building,0008_0004,1163868.3204659,1732496.4863253,35.5749576,129.3084282,183.6799930
9872,BLD01000000366Z1P,building,0008_0004,1163868.3204659,1732496.4863253,35.5749576,129.3084282,172.3899990
9873,BLD010000003675ZU,building,0008_0004,1163869.8462004,1732497.1300186,35.5749632,129.3084452,183.0800020
9874,BLD010000003675ZU,building,0008_0004,1163869.8462004,1732497.1300186,35.5749632,129.3084452,172.6100010
9875,BLD010000003675ZU,roof,0008_0004,1163874.4094341,1732493.9498395,35.5749337,129.3084949,184.0800020
9876,BLD010000003675ZU,building,0008_0004,1163879.0497143,1732490.8493714,35.5749050,129.3085455,183.0800020
9877,BLD010000003675ZU,building,0008_0004,1163879.0497143,1732490.8493714,35.5749050,129.3085455,172.6100010
9878,BLD010000003678GE,building,0008_0004,1163879.7676810,1732490.2021254,35.5748991,129.3085532,181.3399960
9879,BLD010000003678GE,building,0008_0004,1163879.7676810,1732490.2021254,35.5748991,129.3085532,172.6499940
9880,BLD010000003675ZU,building,0008_0004,1163885.4603933,1732499.7923267,35.5749846,129.3086180,183.0800020
9881,BLD010000003675ZU,building,0008_0004,1163885.4603933,1732499.7923267,35.5749846,129.3086180,172.6100010
9882,BLD010000003678GE,building,0008_0004,1163886.2806812,1732498.8859608,35.5749763,129.3086269,181.3399960
9883,BLD010000003678GE,building,0008_0004,1163886.2806812,1732498.8859608,35.5749763,129.3086269,172.6499940
9884,,terrain,0008_0004,1163895.0000000,1732495.0000000,35.5749398,129.3087222,171.5000000
9885,BLD010000003678GE,building,0008_0004,1163895.5124675,1732492.8512807,35.5749203,129.3087275,181.3399960
9886,BLD010000003678GE,building,0008_0004,1163895.5124675,1732492.8512807,35.5749203,129.3087275,172.6499940
9887,BLD01000000366ZOC,building,0008_0004,1163895.5726443,1732496.0923046,35.5749495,129.3087288,179.8999940
9888,BLD01000000366ZOC,building,0008_0004,1163895.5726443,1732496.0923046,35.5749495,129.3087288,173.8000030
9889,BLD01000000366ZF3,building,0008_0004,1163898.2808311,1732494.3149879,35.5749331,129.3087583,177.4299930
9890,BLD01000000366ZF3,building,0008_0004,1163898.2808311,1732494.3149879,35.5749331,129.3087583,173.6499940
9891,BLD01000000389BCH,building,0008_0004,1163898.8700583,1732493.3511363,35.5749243,129.3087646,183.5500030
9892,BLD01000000389BCH,building,0008_0004,1163898.8700583,1732493.3511363,35.5749243,129.3087646,172.4299930
9893,BLD01000000389BCH,building,0008_0004,1163894.0420413,1732486.5039531,35.5748634,129.3087100,183.5500030
9894,BLD01000000389BCH,building,0008_0004,1163894.0420413,1732486.5039531,35.5748634,129.3087100,172.4299930
9895,BLD010000003678GE,building,0008_0004,1163888.9751031,1732483.9219571,35.5748410,129.3086535,181.3399960
9896,BLD010000003678GE,building,0008_0004,1163888.9751031,1732483.9219571,35.5748410,129.3086535,172.6499940
9897,BLD010000003678GE,roof,0008_0004,1163884.3574814,1732487.0200578,35.5748696,129.3086032,182.3399960
9898,,terrain,0008_0004,1163875.0000000,1732485.0000000,35.5748530,129.3084996,171.4499864
9899,BLD010000003678GE,building,0008_0004,1163873.2546808,1732481.5182900,35.5748219,129.3084796,181.3399960
9900,BLD010000003678GE,building,0008_0004,1163873.2546808,1732481.5182900,35.5748219,129.3084796,172.6499940
9901,BLD010000003675ZU,building,0008_0004,1163872.6390352,1732481.9064161,35.5748255,129.3084729,183.0800020
9902,BLD010000003675ZU,building,0008_0004,1163872.6390352,1732481.9064161,35.5748255,129.3084729,172.6100010
9903,,terrain,0008_0004,1163865.0000000,1732485.0000000,35.5748546,129.3083893,171.5000000
9904,BLD010000003675ZU,building,0008_0004,1163863.2245498,1732488.1766143,35.5748836,129.3083704,183.0800020
9905,BLD010000003675ZU,building,0008_0004,1163863.2245498,1732488.1766143,35.5748836,129.3083704,172.6100010
9906,BLD01000000366Z1P,building,0008_0004,1163862.3608330,1732488.0370572,35.5748824,129.3083608,183.6799930
9907,BLD01000000366Z1P,building,0008_0004,1163862.3608330,1732488.0370572,35.5748824,129.3083608,172.3899990
9908,BLD01000000366RDT,building,0008_0004,1163856.8263720,1732481.3979464,35.5748235,129.3082984,173.8500060
9909,BLD01000000366RDT,building,0008_0004,1163856.8263720,1732481.3979464,35.5748235,129.3082984,171.5099950
9910,,terrain,0008_0004,1163855.0000000,1732485.0000000,35.5748563,129.3082790,171.5000000
9911,BLD01000000367695,building,0008_0004,1163851.3947879,1732487.7524055,35.5748817,129.3082398,178.4700010
9912,BLD01000000367695,building,0008_0004,1163851.3947879,1732487.7524055,35.5748817,129.3082398,171.4799960
9913,BLD01000000366RDT,building,0008_0004,1163849.9966653,1732485.1608020,35.5748586,129.3082238,173.8500060
9914,BLD01000000366RDT,building,0008_0004,1163849.9966653,1732485.1608020,35.5748586,129.3082238,171.5099950
9915,BLD01000000367695,roof,0008_0004,1163822.2011788,1732486.6460000,35.5748766,129.3079175,179.4700010
9916,BLD01000000367695,building,0008_0004,1163813.5810676,1732485.5021591,35.5748677,129.3078222,178.4700010
9917,BLD01000000367695,building,0008_0004,1163813.5810676,1732485.5021591,35.5748677,129.3078222,171.4799960
9918,,terrain,0008_0004,1163805.0000000,1732485.0000000,35.5748646,129.3077274,169.0431118
9919,,terrain,0008_0004,1163805.0000000,1732475.0000000,35.5747745,129.3077254,167.5954106
9920,BLD01000000366O6J,building,0008_0004,1163808.6333279,1732476.8263285,35.5747903,129.3077659,170.2400050
9921,BLD01000000366O6J,building,0008_0004,1163808.6333279,1732476.8263285,35.5747903,129.3077659,168.5399930
9922,BLD01000000366O6J,roof,0008_0004,1163809.4093351,1732471.2492666,35.5747399,129.3077733,171.2400050
9923,BLD010000003678NL,building,0008_0004,1163813.4056286,1732474.3980857,35.5747676,129.3078180,189.0599980
9924,BLD010000003678NL,building,0008_0004,1163813.4056286,1732474.3980857,35.5747676,129.3078180,178.7050020
9925,BLD010000003678NL,building,0008_0004,1163813.4056286,1732474.3980857,35.5747676,129.3078180,168.3500060
9926,,terrain,0008_0004,1163815.0000000,1732475.0000000,35.5747728,129.3078357,169.4669861
9927,BLD01000000367695,building,0008_0004,1163822.0739498,1732479.9932722,35.5748166,129.3079148,178.4700010
9928,BLD01000000367695,building,0008_0004,1163822.0739498,1732479.9932722,35.5748166,129.3079148,171.4799960
9929,,terrain,0008_0004,1163825.0000000,1732475.0000000,35.5747711,129.3079460,171.2217696
9930,BLD01000000367695,building,0008_0004,1163830.5668320,1732474.4843853,35.5747656,129.3080073,178.4700010
9931,BLD01000000367695,building,0008_0004,1163830.5668320,1732474.4843853,35.5747656,129.3080073,171.4799960
9932,BLD01000000366RDT,building,0008_0004,1163843.7440739,1732474.6971586,35.5747653,129.3081527,173.8500060
9933,BLD01000000366RDT,building,0008_0004,1163843.7440739,1732474.6971586,35.5747653,129.3081527,171.5099950
9934,BLD01000000367695,building,0008_0004,1163845.2272511,1732478.3639519,35.5747981,129.3081698,178.4700010
9935,BLD01000000367695,building,0008_0004,1163845.2272511,1732478.3639519,35.5747981,129.3081698,171.4799960
9936,BLD01000000366RDT,building,0008_0004,1163855.8987155,1732472.9016987,35.5747471,129.3082864,173.8500060
9937,BLD01000000366RDT,building,0008_0004,1163855.8987155,1732472.9016987,35.5747471,129.3082864,171.5099950
9938,BLD01000000366RDT,building,0008_0004,1163857.5937456,1732475.9573529,35.5747744,129.3083058,173.8500060
